system:time_start,Oa06_radiance
"Jan 1, 2021",
"Jan 1, 2021",0.902
"Jan 2, 2021",0.828
"Jan 2, 2021",
"Jan 3, 2021",
"Jan 3, 2021",2.617
"Jan 3, 2021",
"Jan 4, 2021",0.794
"Jan 4, 2021",
"Jan 4, 2021",0.666
"Jan 4, 2021",
"Jan 5, 2021",
"Jan 5, 2021",3.283
"Jan 6, 2021",0.902
"Jan 6, 2021",
"Jan 7, 2021",0.568
"Jan 7, 2021",
"Jan 8, 2021",2.273
"Jan 8, 2021",1.474
"Jan 8, 2021",
"Jan 9, 2021",
"Jan 9, 2021",3.701
"Jan 10, 2021",3.621
"Jan 10, 2021",2.003
"Jan 11, 2021",0.734
"Jan 12, 2021",0.834
"Jan 12, 2021",0.544
"Jan 12, 2021",
"Jan 13, 2021",
"Jan 13, 2021",0.923
"Jan 14, 2021",
"Jan 14, 2021",3.502
"Jan 15, 2021",3.859
"Jan 15, 2021",
"Jan 16, 2021",1.221
"Jan 16, 2021",2.522
"Jan 16, 2021",
"Jan 17, 2021",
"Jan 17, 2021",0.729
"Jan 18, 2021",
"Jan 18, 2021",1.025
"Jan 18, 2021",
"Jan 19, 2021",0.754
"Jan 19, 2021",
"Jan 20, 2021",0.856
"Jan 20, 2021",0.655
"Jan 20, 2021",
"Jan 21, 2021",3.129
"Jan 21, 2021",
"Jan 22, 2021",
"Jan 22, 2021",0.42
"Jan 22, 2021",
"Jan 23, 2021",3.326
"Jan 23, 2021",
"Jan 24, 2021",
"Jan 24, 2021",
"Jan 24, 2021",0.951
"Jan 24, 2021",
"Jan 25, 2021",3.432
"Jan 25, 2021",
"Jan 26, 2021",
"Jan 26, 2021",1.53
"Jan 26, 2021",
"Jan 27, 2021",4.726
"Jan 27, 2021",3.521
"Jan 28, 2021",
"Jan 28, 2021",3.556
"Jan 29, 2021",0.828
"Jan 29, 2021",
"Jan 30, 2021",
"Jan 30, 2021",0.403
"Jan 30, 2021",
"Jan 31, 2021",0.695
"Jan 31, 2021",0.659
"Jan 31, 2021",
"Feb 1, 2021",
"Feb 1, 2021",3.99
"Feb 2, 2021",1.207
"Feb 2, 2021",
"Feb 3, 2021",3.922
"Feb 3, 2021",
"Feb 4, 2021",0.687
"Feb 4, 2021",0.55
"Feb 4, 2021",
"Feb 5, 2021",
"Feb 5, 2021",0.665
"Feb 6, 2021",1.034
"Feb 6, 2021",0.517
"Feb 7, 2021",0.489
"Feb 8, 2021",0.727
"Feb 8, 2021",0.45
"Feb 8, 2021",
"Feb 9, 2021",
"Feb 9, 2021",0.584
"Feb 10, 2021",
"Feb 10, 2021",0.515
"Feb 11, 2021",1.617
"Feb 12, 2021",1.799
"Feb 12, 2021",0.61
"Feb 12, 2021",
"Feb 13, 2021",
"Feb 13, 2021",1.247
"Feb 14, 2021",
"Feb 14, 2021",1.308
"Feb 14, 2021",
"Feb 15, 2021",0.596
"Feb 15, 2021",
"Feb 16, 2021",1.668
"Feb 16, 2021",1.8
"Feb 16, 2021",
"Feb 17, 2021",1.073
"Feb 18, 2021",
"Feb 18, 2021",1.294
"Feb 18, 2021",
"Feb 19, 2021",1.174
"Feb 19, 2021",
"Feb 20, 2021",
"Feb 20, 2021",
"Feb 20, 2021",0.732
"Feb 20, 2021",
"Feb 21, 2021",3.033
"Feb 21, 2021",
"Feb 22, 2021",
"Feb 22, 2021",3.014
"Feb 22, 2021",
"Feb 23, 2021",2.94
"Feb 23, 2021",3.704
"Feb 24, 2021",
"Feb 24, 2021",0.556
"Feb 25, 2021",3.402
"Feb 25, 2021",
"Feb 26, 2021",
"Feb 26, 2021",2.745
"Feb 26, 2021",
"Feb 27, 2021",3.706
"Feb 27, 2021",2.497
"Feb 27, 2021",
"Feb 28, 2021",
"Feb 28, 2021",0.632
"Mar 1, 2021",2.644
"Mar 1, 2021",
"Mar 2, 2021",0.544
"Mar 2, 2021",
"Mar 3, 2021",0.519
"Mar 3, 2021",0.395
"Mar 3, 2021",
"Mar 4, 2021",
"Mar 4, 2021",0.519
"Mar 5, 2021",0.401
"Mar 6, 2021",3.681
"Mar 7, 2021",2.206
"Mar 7, 2021",2.187
"Mar 7, 2021",
"Mar 8, 2021",
"Mar 8, 2021",1.164
"Mar 9, 2021",
"Mar 9, 2021",0.556
"Mar 10, 2021",1.33
"Mar 10, 2021",
"Mar 11, 2021",3.146
"Mar 11, 2021",2.597
"Mar 11, 2021",
"Mar 12, 2021",
"Mar 12, 2021",0.755
"Mar 13, 2021",
"Mar 13, 2021",3.002
"Mar 13, 2021",
"Mar 14, 2021",2.483
"Mar 14, 2021",
"Mar 15, 2021",2.829
"Mar 15, 2021",2.125
"Mar 15, 2021",
"Mar 16, 2021",1.964
"Mar 17, 2021",
"Mar 17, 2021",0.334
"Mar 17, 2021",
"Mar 18, 2021",0.44
"Mar 18, 2021",
"Mar 19, 2021",
"Mar 19, 2021",0.507
"Mar 19, 2021",
"Mar 20, 2021",0.642
"Mar 20, 2021",
"Mar 21, 2021",
"Mar 21, 2021",0.321
"Mar 21, 2021",
"Mar 22, 2021",0.62
"Mar 22, 2021",0.392
"Mar 23, 2021",
"Mar 23, 2021",1.274
"Mar 24, 2021",0.605
"Mar 24, 2021",
"Mar 25, 2021",
"Mar 25, 2021",2.904
"Mar 25, 2021",
"Mar 26, 2021",0.507
"Mar 26, 2021",0.437
"Mar 26, 2021",
"Mar 27, 2021",
"Mar 27, 2021",0.42
"Mar 28, 2021",1.396
"Mar 28, 2021",
"Mar 29, 2021",2.446
"Mar 29, 2021",
"Mar 30, 2021",2.098
"Mar 30, 2021",1.956
"Mar 30, 2021",
"Mar 31, 2021",
"Mar 31, 2021",2.508
"Apr 1, 2021",1.048
"Apr 1, 2021",2.673
"Apr 2, 2021",0.412
"Apr 3, 2021",1.285
"Apr 3, 2021",0.778
"Apr 3, 2021",
"Apr 4, 2021",
"Apr 4, 2021",0.622
"Apr 5, 2021",
"Apr 5, 2021",1.035
"Apr 6, 2021",0.408
"Apr 6, 2021",
"Apr 7, 2021",0.507
"Apr 7, 2021",0.441
"Apr 7, 2021",
"Apr 8, 2021",
"Apr 8, 2021",1.606
"Apr 9, 2021",
"Apr 9, 2021",0.604
"Apr 9, 2021",
"Apr 10, 2021",0.457
"Apr 10, 2021",
"Apr 11, 2021",1.759
"Apr 11, 2021",0.911
"Apr 11, 2021",
"Apr 12, 2021",1.164
"Apr 13, 2021",
"Apr 13, 2021",0.259
"Apr 13, 2021",
"Apr 14, 2021",0.395
"Apr 14, 2021",
"Apr 15, 2021",
"Apr 15, 2021",
"Apr 15, 2021",0.749
"Apr 15, 2021",
"Apr 16, 2021",0.477
"Apr 16, 2021",
"Apr 17, 2021",
"Apr 17, 2021",1.857
"Apr 17, 2021",
"Apr 18, 2021",1.716
"Apr 18, 2021",3.249
"Apr 19, 2021",
"Apr 19, 2021",2.268
"Apr 20, 2021",1.99
"Apr 20, 2021",
"Apr 21, 2021",
"Apr 21, 2021",0.408
"Apr 21, 2021",
"Apr 22, 2021",0.704
"Apr 22, 2021",0.655
"Apr 22, 2021",
"Apr 23, 2021",
"Apr 23, 2021",1.15
"Apr 24, 2021",0.482
"Apr 24, 2021",
"Apr 25, 2021",0.692
"Apr 25, 2021",
"Apr 26, 2021",0.918
"Apr 26, 2021",0.544
"Apr 26, 2021",
"Apr 27, 2021",
"Apr 27, 2021",1.705
"Apr 28, 2021",1.668
"Apr 28, 2021",0.836
"Apr 29, 2021",0.366
"Apr 30, 2021",1.94
"Apr 30, 2021",2.543
"Apr 30, 2021",
"May 1, 2021",
"May 1, 2021",0.338
"May 2, 2021",
"May 2, 2021",1.071
"May 3, 2021",0.321
"May 3, 2021",
"May 4, 2021",0.408
"May 4, 2021",0.301
"May 4, 2021",
"May 5, 2021",
"May 5, 2021",0.35
"May 6, 2021",
"May 6, 2021",0.337
"May 6, 2021",
"May 7, 2021",0.667
"May 7, 2021",
"May 8, 2021",1.277
"May 8, 2021",1.06
"May 8, 2021",
"May 9, 2021",1.004
"May 9, 2021",
"May 10, 2021",
"May 10, 2021",0.235
"May 10, 2021",
"May 11, 2021",1.034
"May 11, 2021",
"May 12, 2021",
"May 12, 2021",
"May 12, 2021",1.344
"May 13, 2021",1.407
"May 13, 2021",
"May 14, 2021",
"May 14, 2021",0.247
"May 14, 2021",
"May 15, 2021",0.729
"May 15, 2021",0.519
"May 16, 2021",
"May 16, 2021",0.972
"May 17, 2021",0.877
"May 17, 2021",
"May 18, 2021",1.45
"May 18, 2021",
"May 19, 2021",0.737
"May 19, 2021",
"May 19, 2021",1.317
"May 19, 2021",
"May 20, 2021",
"May 20, 2021",0.282
"May 21, 2021",0.74
"May 21, 2021",
"May 22, 2021",0.644
"May 23, 2021",1.371
"May 23, 2021",1.211
"May 23, 2021",
"May 24, 2021",
"May 24, 2021",0.761
"May 25, 2021",1.112
"May 25, 2021",1.536
"May 26, 2021",1.153
"May 27, 2021",1.35
"May 27, 2021",0.255
"May 27, 2021",
"May 28, 2021",0.341
"May 29, 2021",
"May 29, 2021",0.843
"May 30, 2021",1.211
"May 30, 2021",
"May 31, 2021",1.174
"May 31, 2021",1.705
"May 31, 2021",
"Jun 1, 2021",0.803
"Jun 2, 2021",
"Jun 2, 2021",1.569
"Jun 2, 2021",
"Jun 3, 2021",1.038
"Jun 3, 2021",
"Jun 4, 2021",0.375
"Jun 4, 2021",0.353
"Jun 5, 2021",0.29
"Jun 6, 2021",0.692
"Jun 6, 2021",
"Jun 7, 2021",0.358
"Jun 7, 2021",
"Jun 8, 2021",
"Jun 8, 2021",
"Jun 8, 2021",1.087
"Jun 9, 2021",0.334
"Jun 9, 2021",
"Jun 10, 2021",0.284
"Jun 10, 2021",
"Jun 11, 2021",0.84
"Jun 11, 2021",1.259
"Jun 12, 2021",
"Jun 12, 2021",1.532
"Jun 13, 2021",0.507
"Jun 13, 2021",
"Jun 14, 2021",0.21
"Jun 15, 2021",0.279
"Jun 15, 2021",0.284
"Jun 15, 2021",
"Jun 16, 2021",
"Jun 16, 2021",0.313
"Jun 17, 2021",0.334
"Jun 17, 2021",
"Jun 18, 2021",0.236
"Jun 19, 2021",0.845
"Jun 19, 2021",1.071
"Jun 19, 2021",
"Jun 20, 2021",0.493
"Jun 21, 2021",1.112
"Jun 21, 2021",1.254
"Jun 22, 2021",1.35
"Jun 23, 2021",0.299
"Jun 23, 2021",0.229
"Jun 23, 2021",
"Jun 24, 2021",1.149
"Jun 25, 2021",
"Jun 25, 2021",0.262
"Jun 26, 2021",0.277
"Jun 26, 2021",
"Jun 27, 2021",0.309
"Jun 27, 2021",0.267
"Jun 27, 2021",
"Jun 28, 2021",0.291
"Jun 29, 2021",
"Jun 29, 2021",1.099
"Jun 29, 2021",
"Jun 30, 2021",0.77
"Jun 30, 2021",
"Jul 1, 2021",1.232
"Jul 1, 2021",1.05
"Jul 2, 2021",0.729
"Jul 3, 2021",0.61
"Jul 3, 2021",
"Jul 4, 2021",0.482
"Jul 4, 2021",
"Jul 5, 2021",
"Jul 5, 2021",0.698
"Jul 6, 2021",0.92
"Jul 6, 2021",
"Jul 7, 2021",1.124
"Jul 7, 2021",
"Jul 8, 2021",0.623
"Jul 8, 2021",2.446
"Jul 9, 2021",
"Jul 9, 2021",1.042
"Jul 10, 2021",0.393
"Jul 10, 2021",
"Jul 11, 2021",0.954
"Jul 11, 2021",
"Jul 12, 2021",0.538
"Jul 12, 2021",0.593
"Jul 12, 2021",
"Jul 13, 2021",
"Jul 13, 2021",0.623
"Jul 14, 2021",0.315
"Jul 14, 2021",
"Jul 15, 2021",0.568
"Jul 16, 2021",1.582
"Jul 16, 2021",1.179
"Jul 16, 2021",
"Jul 17, 2021",0.289
"Jul 18, 2021",0.408
"Jul 18, 2021",0.288
"Jul 19, 2021",0.724
"Jul 20, 2021",1.137
"Jul 20, 2021",1.522
"Jul 20, 2021",
"Jul 21, 2021",1.172
"Jul 22, 2021",
"Jul 22, 2021",1.122
"Jul 23, 2021",0.261
"Jul 23, 2021",
"Jul 24, 2021",1.075
"Jul 24, 2021",1.505
"Jul 24, 2021",
"Jul 25, 2021",0.365
"Jul 26, 2021",
"Jul 26, 2021",0.283
"Jul 26, 2021",
"Jul 27, 2021",0.383
"Jul 27, 2021",
"Jul 28, 2021",0.371
"Jul 28, 2021",0.469
"Jul 28, 2021",
"Jul 29, 2021",0.939
"Jul 30, 2021",
"Jul 30, 2021",1.596
"Jul 30, 2021",
"Jul 31, 2021",0.282
"Jul 31, 2021",
"Aug 1, 2021",
"Aug 1, 2021",0.309
"Aug 2, 2021",0.606
"Aug 2, 2021",
"Aug 3, 2021",
"Aug 3, 2021",1.315
"Aug 3, 2021",
"Aug 4, 2021",0.898
"Aug 4, 2021",0.939
"Aug 5, 2021",
"Aug 5, 2021",0.527
"Aug 6, 2021",1.447
"Aug 6, 2021",
"Aug 7, 2021",
"Aug 7, 2021",0.247
"Aug 7, 2021",
"Aug 8, 2021",0.782
"Aug 8, 2021",0.939
"Aug 8, 2021",
"Aug 9, 2021",
"Aug 9, 2021",1.223
"Aug 10, 2021",1.554
"Aug 10, 2021",
"Aug 11, 2021",0.395
"Aug 11, 2021",
"Aug 12, 2021",0.383
"Aug 12, 2021",0.312
"Aug 12, 2021",
"Aug 13, 2021",
"Aug 13, 2021",1.705
"Aug 14, 2021",0.976
"Aug 14, 2021",1.5
"Aug 15, 2021",2.164
"Aug 16, 2021",0.426
"Aug 16, 2021",0.311
"Aug 16, 2021",
"Aug 17, 2021",
"Aug 17, 2021",0.803
"Aug 18, 2021",
"Aug 18, 2021",0.731
"Aug 19, 2021",1.466
"Aug 19, 2021",
"Aug 20, 2021",1.163
"Aug 20, 2021",0.668
"Aug 20, 2021",
"Aug 21, 2021",
"Aug 21, 2021",1.853
"Aug 22, 2021",
"Aug 22, 2021",0.408
"Aug 22, 2021",
"Aug 23, 2021",0.346
"Aug 23, 2021",
"Aug 24, 2021",1.68
"Aug 24, 2021",1.893
"Aug 24, 2021",
"Aug 25, 2021",1.347
"Aug 26, 2021",
"Aug 26, 2021",0.335
"Aug 26, 2021",
"Aug 27, 2021",1.927
"Aug 27, 2021",
"Aug 28, 2021",
"Aug 28, 2021",
"Aug 28, 2021",1.722
"Aug 28, 2021",
"Aug 29, 2021",1.199
"Aug 29, 2021",
"Aug 30, 2021",
"Aug 30, 2021",1.494
"Aug 30, 2021",
"Aug 31, 2021",1.407
"Aug 31, 2021",1.363
"Sep 1, 2021",
"Sep 1, 2021",0.446
"Sep 2, 2021",1.845
"Sep 2, 2021",
"Sep 3, 2021",
"Sep 3, 2021",0.488
"Sep 3, 2021",
"Sep 4, 2021",0.527
"Sep 4, 2021",0.704
"Sep 4, 2021",
"Sep 5, 2021",
"Sep 5, 2021",1.544
"Sep 6, 2021",1.717
"Sep 6, 2021",
"Sep 7, 2021",0.371
"Sep 7, 2021",
"Sep 8, 2021",1.433
"Sep 8, 2021",0.959
"Sep 8, 2021",
"Sep 9, 2021",
"Sep 9, 2021",1.692
"Sep 10, 2021",1.703
"Sep 10, 2021",1.039
"Sep 11, 2021",2.014
"Sep 12, 2021",1.019
"Sep 12, 2021",1.771
"Sep 12, 2021",
"Sep 13, 2021",
"Sep 13, 2021",0.494
"Sep 14, 2021",
"Sep 14, 2021",0.574
"Sep 15, 2021",0.464
"Sep 15, 2021",
"Sep 16, 2021",2.599
"Sep 16, 2021",1.878
"Sep 16, 2021",
"Sep 17, 2021",
"Sep 17, 2021",1.8
"Sep 18, 2021",
"Sep 18, 2021",4.036
"Sep 18, 2021",
"Sep 19, 2021",0.449
"Sep 19, 2021",
"Sep 20, 2021",0.57
"Sep 20, 2021",0.52
"Sep 20, 2021",
"Sep 21, 2021",
"Sep 22, 2021",1.915
"Sep 24, 2021",
"Sep 24, 2021",
"Sep 24, 2021",0.544
"Sep 24, 2021",
"Sep 27, 2021",0.853
