system:time_start,LST_Day_1km
"Jan 1, 2021",24.372
"Jan 2, 2021",
"Jan 3, 2021",23.299
"Jan 4, 2021",24.035
"Jan 5, 2021",21.75
"Jan 6, 2021",24.965
"Jan 7, 2021",24.233
"Jan 8, 2021",25.404
"Jan 9, 2021",
"Jan 10, 2021",
"Jan 11, 2021",
"Jan 12, 2021",19.73
"Jan 13, 2021",25.452
"Jan 14, 2021",
"Jan 15, 2021",
"Jan 16, 2021",23.152
"Jan 17, 2021",25.096
"Jan 18, 2021",27.45
"Jan 19, 2021",27.245
"Jan 20, 2021",
"Jan 21, 2021",25.759
"Jan 22, 2021",29.619
"Jan 23, 2021",24.765
"Jan 24, 2021",25.673
"Jan 25, 2021",
"Jan 26, 2021",
"Jan 27, 2021",20.79
"Jan 28, 2021",
"Jan 29, 2021",24.835
"Jan 30, 2021",25.695
"Jan 31, 2021",26.432
"Feb 1, 2021",25.215
"Feb 2, 2021",24.664
"Feb 3, 2021",25.933
"Feb 4, 2021",27.515
"Feb 5, 2021",28.752
"Feb 6, 2021",26.23
"Feb 7, 2021",30.125
"Feb 8, 2021",29.87
"Feb 9, 2021",29.058
"Feb 10, 2021",29.959
"Feb 11, 2021",
"Feb 12, 2021",27.501
"Feb 13, 2021",22.39
"Feb 14, 2021",23.99
"Feb 15, 2021",24.51
"Feb 16, 2021",24.45
"Feb 17, 2021",
"Feb 18, 2021",
"Feb 19, 2021",
"Feb 20, 2021",22.733
"Feb 21, 2021",20.059
"Feb 22, 2021",
"Feb 23, 2021",23.341
"Feb 24, 2021",24.459
"Feb 25, 2021",25.21
"Feb 26, 2021",25.321
"Feb 27, 2021",
"Feb 28, 2021",25.053
"Mar 1, 2021",
"Mar 2, 2021",26.075
"Mar 3, 2021",24.959
"Mar 4, 2021",25.301
"Mar 5, 2021",25.973
"Mar 6, 2021",
"Mar 7, 2021",
"Mar 8, 2021",
"Mar 9, 2021",26.33
"Mar 10, 2021",
"Mar 11, 2021",
"Mar 12, 2021",19.35
"Mar 13, 2021",18.25
"Mar 14, 2021",21.632
"Mar 15, 2021",
"Mar 16, 2021",19.27
"Mar 17, 2021",
"Mar 18, 2021",24.935
"Mar 19, 2021",
"Mar 20, 2021",17.45
"Mar 21, 2021",22.355
"Mar 22, 2021",20.816
"Mar 23, 2021",
"Mar 24, 2021",17.69
"Mar 25, 2021",18.77
"Mar 26, 2021",19.13
"Mar 27, 2021",20.584
"Mar 28, 2021",19.45
"Mar 29, 2021",19.921
"Mar 30, 2021",20.035
"Mar 31, 2021",
"Apr 1, 2021",
"Apr 2, 2021",17.612
"Apr 3, 2021",18.916
"Apr 4, 2021",
"Apr 5, 2021",
"Apr 6, 2021",
"Apr 7, 2021",
"Apr 8, 2021",
"Apr 9, 2021",16.33
"Apr 10, 2021",
"Apr 11, 2021",
