system:time_start,LST_Night_1km
"Jan 1, 2021",10.69
"Jan 2, 2021",7.03
"Jan 3, 2021",8.579
"Jan 4, 2021",9.204
"Jan 5, 2021",6.844
"Jan 6, 2021",6.627
"Jan 7, 2021",10.216
"Jan 8, 2021",6.801
"Jan 9, 2021",
"Jan 10, 2021",
"Jan 11, 2021",3.47
"Jan 12, 2021",3.89
"Jan 13, 2021",
"Jan 14, 2021",
"Jan 15, 2021",10.427
"Jan 16, 2021",2.13
"Jan 17, 2021",8.108
"Jan 18, 2021",8.408
"Jan 19, 2021",12.567
"Jan 20, 2021",10.816
"Jan 21, 2021",12.933
"Jan 22, 2021",
"Jan 23, 2021",15.93
"Jan 24, 2021",7.77
"Jan 25, 2021",8.13
"Jan 26, 2021",6.17
"Jan 27, 2021",
"Jan 28, 2021",
"Jan 29, 2021",8.97
"Jan 30, 2021",5.63
"Jan 31, 2021",7.373
"Feb 1, 2021",7.37
"Feb 2, 2021",
"Feb 3, 2021",7.652
"Feb 4, 2021",12.841
"Feb 5, 2021",13.256
"Feb 6, 2021",10.247
"Feb 7, 2021",6.49
"Feb 8, 2021",10.339
"Feb 9, 2021",12.024
"Feb 10, 2021",12.201
"Feb 11, 2021",13.973
"Feb 12, 2021",10.521
"Feb 13, 2021",6.33
"Feb 14, 2021",
"Feb 15, 2021",3.47
"Feb 16, 2021",4.95
"Feb 17, 2021",
"Feb 18, 2021",
"Feb 19, 2021",2.13
"Feb 20, 2021",7.865
"Feb 21, 2021",6.058
"Feb 22, 2021",
"Feb 23, 2021",6.916
"Feb 24, 2021",
"Feb 25, 2021",10.192
"Feb 26, 2021",11.473
"Feb 27, 2021",
"Feb 28, 2021",9.959
"Mar 1, 2021",
"Mar 2, 2021",9.252
"Mar 3, 2021",
"Mar 4, 2021",10.361
"Mar 5, 2021",6.858
"Mar 6, 2021",11.615
"Mar 7, 2021",
"Mar 8, 2021",
"Mar 9, 2021",4.39
"Mar 10, 2021",
"Mar 11, 2021",5.99
"Mar 12, 2021",5.27
"Mar 13, 2021",5.49
"Mar 14, 2021",6.099
"Mar 15, 2021",7.51
"Mar 16, 2021",
"Mar 17, 2021",8.042
"Mar 18, 2021",4.055
"Mar 19, 2021",9.325
"Mar 20, 2021",
"Mar 21, 2021",5.404
"Mar 22, 2021",5.339
"Mar 23, 2021",6.67
"Mar 24, 2021",
"Mar 25, 2021",
"Mar 26, 2021",1.81
"Mar 27, 2021",4.216
"Mar 28, 2021",7.168
"Mar 29, 2021",
"Mar 30, 2021",
"Mar 31, 2021",9.398
"Apr 1, 2021",6.339
"Apr 2, 2021",5.268
"Apr 3, 2021",
"Apr 4, 2021",1.79
"Apr 5, 2021",
"Apr 6, 2021",
"Apr 7, 2021",8.413
"Apr 8, 2021",
"Apr 9, 2021",4.535
"Apr 10, 2021",4.675
"Apr 11, 2021",0.15
"Apr 12, 2021",4.73
"Apr 13, 2021",11.101
"Apr 14, 2021",6.35
"Apr 15, 2021",7.63
"Apr 16, 2021",
"Apr 17, 2021",
"Apr 18, 2021",
"Apr 19, 2021",
"Apr 20, 2021",
"Apr 21, 2021",
"Apr 22, 2021",
"Apr 23, 2021",-2.018
"Apr 24, 2021",3.355
"Apr 25, 2021",2.872
"Apr 26, 2021",
"Apr 27, 2021",9.13
"Apr 28, 2021",
"Apr 29, 2021",
"Apr 30, 2021",
"May 1, 2021",
"May 2, 2021",
"May 3, 2021",
"May 4, 2021",2.73
"May 5, 2021",0.876
"May 6, 2021",0.57
"May 7, 2021",3.23
"May 8, 2021",
"May 9, 2021",4.882
"May 10, 2021",2.785
"May 11, 2021",0.013
"May 12, 2021",
"May 13, 2021",
"May 14, 2021",3.548
"May 15, 2021",2.216
"May 16, 2021",-0.13
"May 17, 2021",
"May 18, 2021",
"May 19, 2021",
"May 20, 2021",4.292
"May 21, 2021",7.402
"May 22, 2021",5.735
"May 23, 2021",
"May 24, 2021",
"May 25, 2021",1.11
"May 26, 2021",
"May 27, 2021",
"May 28, 2021",
"May 29, 2021",2.87
"May 30, 2021",
"May 31, 2021",
"Jun 1, 2021",
"Jun 2, 2021",1.225
"Jun 3, 2021",
"Jun 4, 2021",
"Jun 5, 2021",0.936
"Jun 6, 2021",
"Jun 7, 2021",
"Jun 8, 2021",
"Jun 9, 2021",
"Jun 10, 2021",2.85
"Jun 11, 2021",
"Jun 12, 2021",
"Jun 13, 2021",
"Jun 14, 2021",0.299
"Jun 15, 2021",3.218
"Jun 16, 2021",-1.145
"Jun 17, 2021",-2.296
"Jun 18, 2021",-1.776
"Jun 19, 2021",-1.684
"Jun 20, 2021",0.527
"Jun 21, 2021",
"Jun 22, 2021",
"Jun 23, 2021",
"Jun 24, 2021",
"Jun 25, 2021",1.252
"Jun 26, 2021",-3.35
"Jun 27, 2021",-0.256
"Jun 28, 2021",-1.175
"Jun 29, 2021",
"Jun 30, 2021",
"Jul 1, 2021",0.087
"Jul 2, 2021",
"Jul 3, 2021",2.801
"Jul 4, 2021",2.915
"Jul 5, 2021",
"Jul 6, 2021",
"Jul 7, 2021",
"Jul 8, 2021",
"Jul 9, 2021",
"Jul 10, 2021",0.898
"Jul 11, 2021",3.628
"Jul 12, 2021",2.568
"Jul 13, 2021",-0.387
"Jul 14, 2021",-0.753
"Jul 15, 2021",-1.91
"Jul 16, 2021",2.842
"Jul 17, 2021",-0.21
"Jul 18, 2021",-1.69
"Jul 19, 2021",
"Jul 20, 2021",
"Jul 21, 2021",
"Jul 22, 2021",
"Jul 23, 2021",4.279
"Jul 24, 2021",3.205
"Jul 25, 2021",
"Jul 26, 2021",-1.388
"Jul 27, 2021",0.038
"Jul 28, 2021",0.496
"Jul 29, 2021",3.021
"Jul 30, 2021",
"Jul 31, 2021",-0.087
"Aug 1, 2021",-2.93
"Aug 2, 2021",4.355
"Aug 3, 2021",
"Aug 4, 2021",
"Aug 5, 2021",
"Aug 6, 2021",
"Aug 7, 2021",0.693
"Aug 8, 2021",-2.21
"Aug 9, 2021",
"Aug 10, 2021",0.418
"Aug 11, 2021",
"Aug 12, 2021",1.361
"Aug 13, 2021",
"Aug 14, 2021",-1.99
"Aug 15, 2021",
"Aug 16, 2021",
"Aug 17, 2021",
"Aug 18, 2021",-1.67
"Aug 19, 2021",
"Aug 20, 2021",0.79
"Aug 21, 2021",
"Aug 22, 2021",3.621
"Aug 23, 2021",-1.324
"Aug 24, 2021",-3.27
"Aug 25, 2021",
"Aug 26, 2021",
"Aug 27, 2021",
"Aug 28, 2021",5.97
"Aug 29, 2021",
"Aug 30, 2021",
"Aug 31, 2021",8.835
"Sep 1, 2021",6.805
"Sep 2, 2021",6.79
"Sep 3, 2021",
"Sep 4, 2021",
"Sep 4, 2021",
"Sep 6, 2021",
"Sep 7, 2021",2.57
"Sep 8, 2021",
"Sep 9, 2021",
"Sep 10, 2021",2.772
"Sep 11, 2021",
"Sep 12, 2021",
"Sep 13, 2021",2.635
"Sep 14, 2021",0.91
"Sep 15, 2021",
"Sep 16, 2021",
"Sep 17, 2021",
"Sep 18, 2021",2.376
"Sep 19, 2021",1.433
"Sep 20, 2021",1.27
"Sep 21, 2021",5.65
"Sep 22, 2021",5.376
"Sep 23, 2021",3.135
"Sep 24, 2021",
"Sep 25, 2021",
"Sep 26, 2021",0.17
"Sep 27, 2021",-0.49
"Sep 28, 2021",0.23
"Sep 29, 2021",
"Sep 30, 2021",
"Oct 1, 2021",
"Oct 2, 2021",1.148
"Oct 3, 2021",2.961
"Oct 4, 2021",-2.07
