system:time_start,sea_surface_temperature
"Jan 1, 2021",
"Jan 1, 2021",16.12
"Jan 2, 2021",7.65
"Jan 2, 2021",17.07
"Jan 3, 2021",
"Jan 3, 2021",15.8
"Jan 4, 2021",7.98
"Jan 4, 2021",15.22
"Jan 5, 2021",11.83
"Jan 5, 2021",-3
"Jan 6, 2021",16.81
"Jan 6, 2021",4.52
"Jan 7, 2021",0.7
"Jan 7, 2021",11.16
"Jan 8, 2021",-3
"Jan 8, 2021",-3
"Jan 9, 2021",-3
"Jan 9, 2021",-3
"Jan 10, 2021",
"Jan 10, 2021",11.51
"Jan 11, 2021",8.6
"Jan 11, 2021",4.99
"Jan 12, 2021",-1.68
"Jan 12, 2021",
"Jan 13, 2021",8.01
"Jan 13, 2021",-1.54
"Jan 14, 2021",-1.67
"Jan 14, 2021",8.32
"Jan 15, 2021",5.56
"Jan 15, 2021",11.85
"Jan 16, 2021",12.55
"Jan 16, 2021",14.45
"Jan 17, 2021",
"Jan 17, 2021",11.63
"Jan 18, 2021",12.99
"Jan 18, 2021",17.9
"Jan 19, 2021",13.17
"Jan 19, 2021",19.46
"Jan 20, 2021",14.25
"Jan 20, 2021",19.28
"Jan 21, 2021",13.54
"Jan 21, 2021",20.28
"Jan 22, 2021",10.69
"Jan 22, 2021",18.39
"Jan 23, 2021",8.28
"Jan 23, 2021",13.99
"Jan 24, 2021",-3
"Jan 24, 2021",9.64
"Jan 25, 2021",-2.98
"Jan 25, 2021",10.24
"Jan 26, 2021",-3
"Jan 26, 2021",7.59
"Jan 27, 2021",-3
"Jan 27, 2021",13.26
"Jan 28, 2021",10.56
"Jan 28, 2021",16.43
"Jan 29, 2021",7.42
"Jan 29, 2021",15.85
"Jan 30, 2021",10.14
"Jan 30, 2021",
"Jan 31, 2021",9.86
"Jan 31, 2021",17.46
"Feb 1, 2021",11.59
"Feb 1, 2021",
"Feb 2, 2021",10.39
"Feb 2, 2021",14.12
"Feb 3, 2021",
"Feb 3, 2021",15.79
"Feb 4, 2021",
"Feb 4, 2021",17.29
"Feb 5, 2021",11.89
"Feb 5, 2021",17.9
"Feb 6, 2021",17.83
"Feb 6, 2021",
"Feb 7, 2021",
"Feb 7, 2021",
"Feb 8, 2021",16.08
"Feb 8, 2021",
"Feb 9, 2021",16.72
"Feb 9, 2021",21.53
"Feb 10, 2021",12.26
"Feb 10, 2021",13.79
"Feb 11, 2021",14.14
"Feb 11, 2021",11.47
"Feb 12, 2021",10.91
"Feb 12, 2021",11.76
"Feb 13, 2021",
"Feb 13, 2021",
"Feb 14, 2021",
"Feb 14, 2021",
"Feb 15, 2021",7.56
"Feb 15, 2021",
