system:time_start,Oa02_radiance
"Jan 1, 2021",
"Jan 1, 2021",1.178
"Jan 2, 2021",1.325
"Jan 2, 2021",
"Jan 3, 2021",
"Jan 3, 2021",2.436
"Jan 3, 2021",
"Jan 4, 2021",1.27
"Jan 4, 2021",
"Jan 4, 2021",0.946
"Jan 4, 2021",
"Jan 5, 2021",
"Jan 5, 2021",2.832
"Jan 6, 2021",1.392
"Jan 6, 2021",
"Jan 7, 2021",0.937
"Jan 7, 2021",
"Jan 8, 2021",2.37
"Jan 8, 2021",1.642
"Jan 8, 2021",
"Jan 9, 2021",
"Jan 9, 2021",3.298
"Jan 10, 2021",3.454
"Jan 10, 2021",2.042
"Jan 11, 2021",1.091
"Jan 12, 2021",1.33
"Jan 12, 2021",0.901
"Jan 12, 2021",
"Jan 13, 2021",
"Jan 13, 2021",1.308
"Jan 14, 2021",
"Jan 14, 2021",3.198
"Jan 15, 2021",3.548
"Jan 15, 2021",
"Jan 16, 2021",1.676
"Jan 16, 2021",2.361
"Jan 16, 2021",
"Jan 17, 2021",
"Jan 17, 2021",1.232
"Jan 18, 2021",
"Jan 18, 2021",1.191
"Jan 18, 2021",
"Jan 19, 2021",1.217
"Jan 19, 2021",
"Jan 20, 2021",1.45
"Jan 20, 2021",1.017
"Jan 20, 2021",
"Jan 21, 2021",2.914
"Jan 21, 2021",
"Jan 22, 2021",
"Jan 22, 2021",0.803
"Jan 22, 2021",
"Jan 23, 2021",3.136
"Jan 23, 2021",
"Jan 24, 2021",
"Jan 24, 2021",
"Jan 24, 2021",1.205
"Jan 24, 2021",
"Jan 25, 2021",3.211
"Jan 25, 2021",
"Jan 26, 2021",
"Jan 26, 2021",1.565
"Jan 26, 2021",
"Jan 27, 2021",4.284
"Jan 27, 2021",3.213
"Jan 28, 2021",
"Jan 28, 2021",3.158
"Jan 29, 2021",1.312
"Jan 29, 2021",
"Jan 30, 2021",
"Jan 30, 2021",0.817
"Jan 30, 2021",
"Jan 31, 2021",1.128
"Jan 31, 2021",0.854
"Jan 31, 2021",
"Feb 1, 2021",
"Feb 1, 2021",3.4
"Feb 2, 2021",1.648
"Feb 2, 2021",
"Feb 3, 2021",3.348
"Feb 3, 2021",
"Feb 4, 2021",1.162
"Feb 4, 2021",0.828
"Feb 4, 2021",
"Feb 5, 2021",
"Feb 5, 2021",1.018
"Feb 6, 2021",1.498
"Feb 6, 2021",0.756
"Feb 7, 2021",0.868
"Feb 8, 2021",1.205
"Feb 8, 2021",0.791
"Feb 8, 2021",
"Feb 9, 2021",
"Feb 9, 2021",1.022
"Feb 10, 2021",
"Feb 10, 2021",0.745
"Feb 11, 2021",1.773
"Feb 12, 2021",2.029
"Feb 12, 2021",0.914
"Feb 12, 2021",
"Feb 13, 2021",
"Feb 13, 2021",1.532
"Feb 14, 2021",
"Feb 14, 2021",1.459
"Feb 14, 2021",
"Feb 15, 2021",0.978
"Feb 15, 2021",
"Feb 16, 2021",1.968
"Feb 16, 2021",1.727
"Feb 16, 2021",
"Feb 17, 2021",1.458
"Feb 18, 2021",
"Feb 18, 2021",1.49
"Feb 18, 2021",
"Feb 19, 2021",1.446
"Feb 19, 2021",
"Feb 20, 2021",
"Feb 20, 2021",
"Feb 20, 2021",1.014
"Feb 20, 2021",
"Feb 21, 2021",2.777
"Feb 21, 2021",
"Feb 22, 2021",
"Feb 22, 2021",2.597
"Feb 22, 2021",
"Feb 23, 2021",2.677
"Feb 23, 2021",3.104
"Feb 24, 2021",
"Feb 24, 2021",0.944
"Feb 25, 2021",3.048
"Feb 25, 2021",
"Feb 26, 2021",
"Feb 26, 2021",2.507
"Feb 26, 2021",
"Feb 27, 2021",3.333
"Feb 27, 2021",2.684
"Feb 27, 2021",
"Feb 28, 2021",
"Feb 28, 2021",0.925
"Mar 1, 2021",2.517
"Mar 1, 2021",
"Mar 2, 2021",0.884
"Mar 2, 2021",
"Mar 3, 2021",0.991
"Mar 3, 2021",0.71
"Mar 3, 2021",
"Mar 4, 2021",
"Mar 4, 2021",0.897
"Mar 5, 2021",0.639
"Mar 6, 2021",3.146
"Mar 7, 2021",2.294
"Mar 7, 2021",2.035
"Mar 7, 2021",
"Mar 8, 2021",
"Mar 8, 2021",1.347
"Mar 9, 2021",
"Mar 9, 2021",0.723
"Mar 10, 2021",1.477
"Mar 10, 2021",
"Mar 11, 2021",2.905
"Mar 11, 2021",2.429
"Mar 11, 2021",
"Mar 12, 2021",
"Mar 12, 2021",1.14
"Mar 13, 2021",
"Mar 13, 2021",2.651
"Mar 13, 2021",
"Mar 14, 2021",2.209
"Mar 14, 2021",
"Mar 15, 2021",2.59
"Mar 15, 2021",1.955
"Mar 15, 2021",
"Mar 16, 2021",1.847
"Mar 17, 2021",
"Mar 17, 2021",0.629
"Mar 17, 2021",
"Mar 18, 2021",0.814
"Mar 18, 2021",
"Mar 19, 2021",
"Mar 19, 2021",0.867
"Mar 19, 2021",
"Mar 20, 2021",1.031
"Mar 20, 2021",
"Mar 21, 2021",
"Mar 21, 2021",0.629
"Mar 21, 2021",
"Mar 22, 2021",0.992
"Mar 22, 2021",0.68
"Mar 23, 2021",
"Mar 23, 2021",1.385
"Mar 24, 2021",1.004
"Mar 24, 2021",
"Mar 25, 2021",
"Mar 25, 2021",2.498
"Mar 25, 2021",
"Mar 26, 2021",0.897
"Mar 26, 2021",0.667
"Mar 26, 2021",
"Mar 27, 2021",
"Mar 27, 2021",0.758
"Mar 28, 2021",1.577
"Mar 28, 2021",
"Mar 29, 2021",2.174
"Mar 29, 2021",
"Mar 30, 2021",2.067
"Mar 30, 2021",1.898
"Mar 30, 2021",
"Mar 31, 2021",
"Mar 31, 2021",2.236
"Apr 1, 2021",1.41
"Apr 1, 2021",2.327
"Apr 2, 2021",0.727
"Apr 3, 2021",1.366
"Apr 3, 2021",0.923
"Apr 3, 2021",
"Apr 4, 2021",
"Apr 4, 2021",0.9
"Apr 5, 2021",
"Apr 5, 2021",1.126
"Apr 6, 2021",0.71
"Apr 6, 2021",
"Apr 7, 2021",0.91
"Apr 7, 2021",0.664
"Apr 7, 2021",
"Apr 8, 2021",
"Apr 8, 2021",1.593
"Apr 9, 2021",
"Apr 9, 2021",0.781
"Apr 9, 2021",
"Apr 10, 2021",0.723
"Apr 10, 2021",
"Apr 11, 2021",1.83
"Apr 11, 2021",1.083
"Apr 11, 2021",
"Apr 12, 2021",1.291
"Apr 13, 2021",
"Apr 13, 2021",0.535
"Apr 13, 2021",
"Apr 14, 2021",0.696
"Apr 14, 2021",
"Apr 15, 2021",
"Apr 15, 2021",
"Apr 15, 2021",0.909
"Apr 15, 2021",
"Apr 16, 2021",0.802
"Apr 16, 2021",
"Apr 17, 2021",
"Apr 17, 2021",1.733
"Apr 17, 2021",
"Apr 18, 2021",1.74
"Apr 18, 2021",2.811
"Apr 19, 2021",
"Apr 19, 2021",2.08
"Apr 20, 2021",1.874
"Apr 20, 2021",
"Apr 21, 2021",
"Apr 21, 2021",0.669
"Apr 21, 2021",
"Apr 22, 2021",0.897
"Apr 22, 2021",0.83
"Apr 22, 2021",
"Apr 23, 2021",
